id,question,persona,theme,geo,kind,status,stage_broken,minutes,notes
Q001,"A minha terra está a envelhecer?",cidadão,demografia,municipal,interp,todo,,,
Q002,"Quantas pessoas vivem hoje em Portugal e quantas viviam no ano em que nasci?",cidadão,demografia,nacional,lookup,todo,,,
Q003,"Qual é o concelho que mais população perdeu nos últimos 20 anos?",jornalista,demografia,municipal,combo,todo,,,
Q004,"Quantos filhos tem em média uma mulher em Portugal e como se compara com a Europa?",estudante,demografia,europa,combo,todo,,,
Q005,"Com que idade têm as mulheres o primeiro filho, hoje e nos anos 80?",jornalista,demografia,nacional,lookup,todo,,,
Q006,"Há mais casamentos ou divórcios por ano em Portugal?",cidadão,demografia,nacional,combo,todo,,,
Q007,"Quantas pessoas vivem sozinhas em Portugal?",investigador,demografia,nacional,lookup,todo,,,
Q008,"A esperança de vida em Portugal está acima ou abaixo da média da UE?",estudante,demografia,europa,combo,todo,,,
Q009,"Em que ano nasceram mais bebés em Portugal e quantos nascem agora?",cidadão,demografia,nacional,lookup,todo,,,
Q010,"Quantos idosos vivem no meu concelho por cada jovem?",autarca,demografia,municipal,lookup,todo,,,
Q011,"Portugal está a perder população? Desde quando?",cidadão,demografia,nacional,interp,todo,,,
Q012,"Quantos centenários há em Portugal?",jornalista,demografia,nacional,lookup,todo,,,
Q013,"Quantos estrangeiros vivem em Portugal e de que países vêm?",jornalista,migrações,nacional,lookup,todo,,,
Q014,"Saem mais portugueses para o estrangeiro do que entram imigrantes?",cidadão,migrações,nacional,combo,todo,,,
Q015,"O meu concelho cresce por nascimentos ou por gente que chega de fora?",autarca,migrações,municipal,combo,todo,,,
Q016,"Quantos portugueses emigraram na crise de 2011-2014 e quantos voltaram?",investigador,migrações,nacional,combo,todo,,,
Q017,"Que percentagem dos residentes em Portugal nasceu no estrangeiro, e como se compara com Espanha?",estudante,migrações,europa,combo,todo,,,
Q018,"A emigração portuguesa hoje é maior do que nos anos 60?",jornalista,migrações,nacional,interp,todo,,,
Q019,"Quantos alunos há por professor nas escolas portuguesas?",pai/mãe,educação,nacional,lookup,todo,,,
Q020,"O abandono escolar continua a descer?",jornalista,educação,nacional,interp,todo,,,
Q021,"Quantos jovens entram na universidade hoje em comparação com os anos 90?",pai/mãe,educação,nacional,lookup,todo,,,
Q022,"Portugal tem mais ou menos licenciados do que a média europeia?",estudante,educação,europa,combo,todo,,,
Q023,"Quantas escolas fecharam no interior na última década?",jornalista,educação,municipal,combo,todo,,,
Q024,"Que percentagem dos adultos portugueses completou o ensino secundário?",investigador,educação,nacional,lookup,todo,,,
Q025,"Quanto gasta o Estado por aluno no ensino público?",jornalista,educação,nacional,lookup,todo,,,
Q026,"As raparigas têm melhores resultados escolares do que os rapazes?",pai/mãe,educação,nacional,lookup,todo,,,
Q027,"Quantas crianças estão em creches e quanto pagam as famílias?",pai/mãe,educação,nacional,combo,todo,,,
Q028,"Os professores portugueses são dos mais velhos da Europa?",jornalista,educação,europa,combo,todo,,,
Q029,"Quantos médicos há por mil habitantes no meu concelho?",cidadão,saúde,municipal,lookup,todo,,,
Q030,"De que morrem mais os portugueses?",estudante,saúde,nacional,lookup,todo,,,
Q031,"A mortalidade infantil continua a ser das mais baixas da Europa?",jornalista,saúde,europa,combo,todo,,,
Q032,"Quantas camas de hospital existem hoje em comparação com há 20 anos?",investigador,saúde,nacional,lookup,todo,,,
Q033,"Quanto gasta o Estado em saúde por habitante e como evoluiu?",jornalista,saúde,nacional,lookup,todo,,,
Q034,"Há mais enfermeiros ou médicos no SNS?",cidadão,saúde,nacional,combo,todo,,,
Q035,"Os portugueses tomam mais antidepressivos do que os outros europeus?",jornalista,saúde,europa,combo,todo,,,
Q036,"Quantos portugueses fumam, e são mais ou menos do que há 20 anos?",estudante,saúde,nacional,lookup,todo,,,
Q037,"Qual a taxa de obesidade infantil em Portugal?",pai/mãe,saúde,nacional,lookup,todo,,,
Q038,"Quantas interrupções voluntárias da gravidez se fazem por ano?",investigador,saúde,nacional,lookup,todo,,,
Q039,"O salário médio acompanhou a inflação nos últimos dez anos?",cidadão,emprego,nacional,combo,todo,,,
Q040,"Qual é a taxa de desemprego jovem e como se compara com Espanha?",estudante,emprego,europa,combo,todo,,,
Q041,"Em que concelhos do país se ganha melhor?",jornalista,emprego,municipal,lookup,todo,,,
Q042,"Quantos trabalhadores ganham o salário mínimo?",jornalista,emprego,nacional,lookup,todo,,,
Q043,"Quanto ganham as mulheres em relação aos homens pelo mesmo trabalho?",ativista,emprego,nacional,interp,todo,,,
Q044,"Quantas horas por semana trabalha um português em média, e é mais do que um alemão?",cidadão,emprego,europa,combo,todo,,,
Q045,"Que percentagem dos jovens trabalha com contrato a prazo?",estudante,emprego,nacional,lookup,todo,,,
Q046,"O desemprego no meu concelho é maior do que a média nacional?",autarca,emprego,municipal,combo,todo,,,
Q047,"Quantas pessoas trabalham a partir de casa?",investigador,emprego,nacional,lookup,todo,,,
Q048,"Os salários em Portugal são os mais baixos da Europa Ocidental?",jornalista,emprego,europa,interp,todo,,,
Q049,"Os preços das casas subiram mais do que os salários no meu concelho?",cidadão,habitação,municipal,combo,todo,,,
Q050,"Quantas casas estão vazias em Portugal?",jornalista,habitação,nacional,lookup,todo,,,
Q051,"Que parte do rendimento das famílias vai para a habitação?",investigador,habitação,nacional,lookup,todo,,,
Q052,"Constroem-se mais ou menos casas do que antes da crise de 2008?",jornalista,habitação,nacional,lookup,todo,,,
Q053,"Com que idade saem os jovens portugueses de casa dos pais, e é tarde para a Europa?",estudante,habitação,europa,combo,todo,,,
Q054,"Quanto subiram as rendas em Lisboa na última década?",cidadão,habitação,municipal,lookup,todo,,,
Q055,"Que percentagem das famílias tem casa própria?",investigador,habitação,nacional,lookup,todo,,,
Q056,"Há mais alojamento local do que casas para arrendar?",jornalista,habitação,municipal,combo,todo,,,
Q057,"O poder de compra dos portugueses aproximou-se da média europeia desde a entrada no euro?",jornalista,economia,europa,combo,todo,,,
Q058,"Quanto valem hoje 1000 escudos de 1990?",cidadão,economia,nacional,lookup,todo,,,
Q059,"Qual o peso do turismo na economia portuguesa?",estudante,economia,nacional,lookup,todo,,,
Q060,"A dívida pública está a descer em percentagem do PIB?",jornalista,economia,nacional,lookup,todo,,,
Q061,"O que é que Portugal mais exporta e para onde?",estudante,economia,nacional,lookup,todo,,,
Q062,"Qual é o rendimento mediano de uma família portuguesa?",investigador,economia,nacional,lookup,todo,,,
Q063,"Quantas empresas nascem e fecham por ano?",empresário,economia,nacional,combo,todo,,,
Q064,"Os impostos em Portugal são altos em comparação com a Europa?",cidadão,economia,europa,interp,todo,,,
Q065,"Quanto recebe Portugal de fundos europeus por ano?",jornalista,economia,nacional,lookup,todo,,,
Q066,"A produtividade portuguesa está a convergir com a europeia?",investigador,economia,europa,combo,todo,,,
Q067,"Quantas pessoas estão em risco de pobreza em Portugal?",ativista,sociedade,nacional,lookup,todo,,,
